Link Road,Detector_Name,Id,Name,Description,Longitude,Latitude,Status,Direction
M4 J4b-5,M4/2301A,4121,MIDAS site at M4/2301A priority 4 on link 105009001; GPS Ref: 502210;178161; Westbound,M4/2301A,-0.529104177,51.49316624,Active,Westbound
M4 J4b-5,M4/2305A,1481,MIDAS site at M4/2305A priority 5 on link 105009001; GPS Ref: 501838;178126; Westbound,M4/2305A,-0.534470939,51.49291871,Active,Westbound
M4 J4-5,M4/2288B,5822,MIDAS site at M4/2288B priority 4 on link 199003201; GPS Ref: 503512;178226; Eastbound,M4/2288B,-0.510337083,51.49351387,Active,Eastbound
M4 J4-5,M4/2291B,5784,MIDAS site at M4/2291B priority 2 on link 199003201; GPS Ref: 503225;178180; Eastbound,M4/2291B,-0.514483198,51.49315281,Active,Eastbound
M4 J4-5,M4/2295B,5145,MIDAS site at M4/2295B priority 1 on link 199003201; GPS Ref: 502821;178174; Eastbound,M4/2295B,-0.52030232,51.49317242,Active,Eastbound
M4 J4-5,M4/2298B,3189,MIDAS site at M4/2298B priority 1 on link 199003201; GPS Ref: 502519;178179; Eastbound,M4/2298B,-0.524649511,51.49327215,Active,Eastbound
M4 J4-5,M4/2302B,121,MIDAS site at M4/2302B priority 3 on link 199003201; GPS Ref: 502117;178175; Eastbound,M4/2302B,-0.530439285,51.49330887,Active,Eastbound
M4 J4-5,M4/2305B,2353,MIDAS site at M4/2305B priority 5 on link 199003201; GPS Ref: 501836;178145; Eastbound,M4/2305B,-0.534494262,51.49308985,Active,Eastbound
A405,6133/1,7887,TMU Site 6133/1 on link A405 northbound between M1 and M25; GPS Ref: 512533;202933; Northbound,6133/1,-0.372523099,51.71385457,Active,Northbound
A405,6134/1,7888,TMU Site 6134/1 on link A405 southbound between M25 and M1; GPS Ref: 512570;202954; Southbound,6134/1,-0.371981021,51.71403589,Active,Southbound
A405,6007/2,9066,TMU Site 6007/2 on link A405 northbound within the M1 junction; GPS Ref: 511912;202069; Northbound,6007/2,-0.381785023,51.70621352,Active,Northbound
A405,6007/1,9522,TMU Site 6007/1 on link A405 southbound within the M1 junction; GPS Ref: 511929;202063; Southbound,6007/1,-0.38154102,51.7061562,Active,Southbound
M1 J1-2,M1/2114A,2339,MIDAS site at M1/2114A priority 1 on link 200109235; GPS Ref: 522454;187693; Northbound,M1/2114A,-0.234320299,51.57481571,Active,Northbound
M1 J1-2,M1/2149A,4281,MIDAS site at M1/2149A priority 1 on link 199112202; GPS Ref: 521996;190920; Northbound,M1/2149A,-0.239805769,51.60391654,Active,Northbound
M1 J1-2,M1/2116B,1429,MIDAS site at M1/2116B priority 1 on link 199109602; GPS Ref: 522416;187767; Southbound,M1/2116B,-0.234842572,51.57548902,Active,Southbound
M1 J1-2,M1/2147B,4235,MIDAS site at M1/2147B priority 1 on link 126043501; GPS Ref: 522119;190739; Southbound,M1/2147B,-0.238093425,51.60226329,Active,Southbound
M1 J2-4,M1/2155A,10054,MIDAS site at M1/2155A priority 1 on link 123012901; GPS Ref: 521674;191421; Northbound,M1/2155A,-0.244279711,51.60848847,Active,Northbound
